Bandwidth,FileCount,AvgFileSize,BufSize,StartTime,CC_Level,P_Level,PP_Level,numActiveCores,frequency,AvgRtt,TotalAvgTput,TotalEnergy,DataTransferEnergy,TimeStamps,FileType
10,32,222.64,40,06-28-2021 08:56:50:905,4,1,1,20,1.2,30,1666.646627,2957.874,190.0013152,1,1
10,32,222.64,40,06-28-2021 08:57:38:275,4,1,1,20,1.4,30,1683.785468,2899.886,160.186815,1,1
10,32,222.64,40,06-28-2021 08:58:25:520,4,1,1,20,1.6,30,1683.12159,2993.994,253.2913753,1,1
10,32,222.64,40,06-28-2021 08:59:13:019,4,1,1,20,1.8,30,1685.25735,2922.089,184.7826328,1,1
10,32,222.64,40,06-28-2021 09:00:00:033,4,1,1,20,2,30,1684.212524,2988.789,249.7845041,1,1
10,32,222.64,40,06-28-2021 09:00:47:021,4,1,1,20,2.2,30,1687.350896,3013.894,279.9838904,1,1
10,32,222.64,40,06-28-2021 09:01:33:949,4,1,1,20,2.3,30,1694.190991,3121.361,398.5659149,1,1
10,32,222.64,40,06-28-2021 09:02:20:920,4,1,1,24,1.2,30,1659.335353,2946.497,166.5058509,1,1
10,32,222.64,40,06-28-2021 09:03:08:327,4,1,1,24,1.4,30,1655.749589,2993.246,207.1570249,1,1
10,32,222.64,40,06-28-2021 09:03:56:613,4,1,1,24,1.6,30,1658.230388,3000.656,218.8123468,1,1
10,32,222.64,40,06-28-2021 09:04:44:052,4,1,1,24,1.8,30,1694.959767,2929.921,208.28373,1,1
10,32,222.64,40,06-28-2021 09:05:31:085,4,1,1,24,2,30,1695.825475,2999.973,279.7251081,1,1
10,32,222.64,40,06-28-2021 09:06:18:110,4,1,1,24,2.2,30,1702.734591,3025.81,316.599945,1,1
10,32,222.64,40,06-28-2021 09:07:05:000,4,1,1,24,2.3,30,1692.511722,3048.514,322.9401588,1,1
10,32,222.64,40,06-28-2021 09:07:52:235,4,1,1,28,1.2,30,1669.486603,2971.802,208.8693262,1,1
10,32,222.64,40,06-28-2021 09:08:41:250,4,1,1,28,1.4,30,1681.748077,2903.151,160.1327452,1,1
10,32,222.64,40,06-28-2021 09:09:29:387,4,1,1,28,1.6,30,1684.022694,2948.271,209.0349411,1,1
10,32,222.64,40,06-28-2021 09:10:17:314,4,1,1,28,1.8,30,1676.840756,2945.354,194.3082275,1,1
10,32,222.64,40,06-28-2021 09:11:05:042,4,1,1,28,2,30,1669.486603,3029.023,265.8587631,1,1
10,32,222.64,40,06-28-2021 09:11:52:666,4,1,1,28,2.2,30,1684.829764,3121.743,383.8191315,1,1
10,32,222.64,40,06-28-2021 09:12:40:504,4,1,1,28,2.3,30,1699.15223,3075.387,360.542245,1,1
10,32,222.64,40,06-28-2021 09:13:28:056,4,1,1,32,1.2,30,1673.835076,2910.212,154.3034042,1,1
10,32,222.64,40,06-28-2021 09:14:16:222,4,1,1,32,1.4,30,1681.511491,2900.019,156.6919945,1,1
10,32,222.64,40,06-28-2021 09:15:04:381,4,1,1,32,1.6,30,1679.951691,2933.023,187.0716137,1,1
10,32,222.64,40,06-28-2021 09:15:52:284,4,1,1,32,1.8,30,1623.80876,3116.432,275.5397787,1,1
10,32,222.64,40,06-28-2021 09:16:41:670,4,1,1,32,2,30,1428.94705,3494.161,265.8638593,1,1
10,32,222.64,40,06-28-2021 09:17:35:592,4,1,1,32,2.2,30,1689.784025,3047.622,317.6484616,1,1
10,32,222.64,40,06-28-2021 09:18:23:251,4,1,1,32,2.3,30,1686.54141,3052.595,317.5270753,1,1
10,32,222.64,40,06-28-2021 09:19:10:844,4,1,1,36,1.2,30,1362.27306,3634.793,248.6470727,1,1
10,32,222.64,40,06-28-2021 09:20:07:209,4,1,1,36,1.4,30,1667.855926,2990.637,224.8483823,1,1
10,32,222.64,40,06-28-2021 09:20:55:987,4,1,1,36,1.6,30,1688.73358,2914.716,183.0443328,1,1
10,32,222.64,40,06-28-2021 09:21:43:818,4,1,1,36,1.8,30,1671.587878,2936.35,176.8135837,1,1
10,32,222.64,40,06-28-2021 09:22:31:737,4,1,1,36,2,30,1639.623632,3106.403,292.9124018,1,1
10,32,222.64,40,06-28-2021 09:23:20:636,4,1,1,36,2.2,30,1684.734775,3193.892,455.8137561,1,1
10,32,222.64,40,06-28-2021 09:24:08:490,4,1,1,36,2.3,30,1688.972203,3094.83,363.6214588,1,1
10,32,222.64,40,06-28-2021 09:24:56:068,4,1,1,40,1.2,30,1642.191669,2957.78,148.7662867,1,1
10,32,222.64,40,06-28-2021 09:25:45:530,4,1,1,40,1.4,30,1659.335353,2986.942,206.8736633,1,1
10,32,222.64,40,06-28-2021 09:26:34:070,4,1,1,40,1.6,30,1692.847309,2909.11,184.1536602,1,1
10,32,222.64,40,06-28-2021 09:27:21:614,4,1,1,40,1.8,30,1686.065604,3036.759,300.9963863,1,1
10,32,222.64,40,06-28-2021 09:28:09:657,4,1,1,40,2,30,1684.497348,3101.447,363.1371931,1,1
10,32,222.64,40,06-28-2021 09:28:57:466,4,1,1,40,2.2,30,1705.504292,3036.86,332.1268299,1,1
10,32,222.64,40,06-28-2021 09:29:44:485,4,1,1,40,2.3,30,1673.413267,3159.702,403.0987152,1,1
10,32,222.64,40,06-28-2021 09:30:32:498,4,1,1,44,1.2,30,1653.550657,2965.426,176.0179551,1,1
10,32,222.64,40,06-28-2021 09:31:21:413,4,1,1,44,1.4,30,1685.7327,2891.571,155.1136972,1,1
10,32,222.64,40,06-28-2021 09:32:09:155,4,1,1,44,1.6,30,1689.736249,2909.821,179.7702739,1,1
10,32,222.64,40,06-28-2021 09:32:56:731,4,1,1,44,1.8,30,1633.751986,3089.102,265.499817,1,1
10,32,222.64,40,06-28-2021 09:33:45:380,4,1,1,44,2,30,1697.848903,3003.131,286.1249902,1,1
10,32,222.64,40,06-28-2021 09:34:32:808,4,1,1,44,2.2,30,1675.242646,3035.188,282.0581603,1,1
10,32,222.64,40,06-28-2021 09:35:20:385,4,1,1,44,2.3,30,1645.854852,3139.409,336.5703004,1,1
10,32,222.64,40,06-28-2021 09:36:08:675,4,1,1,48,1.2,30,1684.212524,2981.178,242.3278794,1,1
10,32,222.64,40,06-28-2021 09:36:56:818,4,1,1,48,1.4,30,1664.928722,3001.895,231.3979344,1,1
10,32,222.64,40,06-28-2021 09:37:44:512,4,1,1,48,1.6,30,1667.949022,3022.761,257.281133,1,1
10,32,222.64,40,06-28-2021 09:38:32:452,4,1,1,48,1.8,30,1627.035865,3126.844,291.5864787,1,1
10,32,222.64,40,06-28-2021 09:39:21:322,4,1,1,48,2,30,1669.626523,3120.825,357.9695138,1,1
10,32,222.64,40,06-28-2021 09:40:09:157,4,1,1,48,2.2,30,1675.806337,3074.133,321.4662864,1,1
10,32,222.64,40,06-28-2021 09:40:56:323,4,1,1,48,2.3,30,1674.163298,3183.738,428.3697179,1,1
10,32,222.64,40,06-28-2021 09:41:44:203,8,1,1,2,1.2,30,2732.831012,1830.066,142.0488288,1,1
10,32,222.64,40,06-28-2021 09:42:20:202,8,1,1,2,1.4,30,2941.445093,1630.129,61.82990607,1,1
10,32,222.64,40,06-28-2021 09:42:53:617,8,1,1,2,1.6,30,3022.213977,1637.002,110.6158113,1,1
10,32,222.64,40,06-28-2021 09:43:26:054,8,1,1,2,1.8,30,2918.605333,1642.987,62.41506643,1,1
10,32,222.64,40,06-28-2021 09:43:59:028,8,1,1,2,2,30,2937.974703,1650.315,80.16340198,1,1
10,32,222.64,40,06-28-2021 09:44:31:824,8,1,1,2,2.2,30,3007.613175,1669.063,135.3439826,1,1
10,32,222.64,40,06-28-2021 09:45:03:667,8,1,1,2,2.3,30,3125.583463,1593.44,117.6117356,1,1
10,32,222.64,40,06-28-2021 09:45:35:324,8,1,1,4,1.2,30,3024.049051,1644.582,119.1220633,1,1
10,32,222.64,40,06-28-2021 09:46:07:858,8,1,1,4,1.4,30,3076.98509,1658.18,159.041059,1,1
10,32,222.64,40,06-28-2021 09:46:39:623,8,1,1,4,1.6,30,3203.316793,1584.453,144.3626272,1,1
10,32,222.64,40,06-28-2021 09:47:10:502,8,1,1,4,1.8,30,3240.661609,1510.031,86.53597637,1,1
10,32,222.64,40,06-28-2021 09:47:40:889,8,1,1,4,2,30,3186.748502,1618.994,171.4936108,1,1
10,32,222.64,40,06-28-2021 09:48:11:265,8,1,1,4,2.2,30,3178.27491,1634.487,183.2816026,1,1
10,32,222.64,40,06-28-2021 09:48:42:222,8,1,1,4,2.3,30,3044.538023,1642.129,127.0122112,1,1
10,32,222.64,40,06-28-2021 09:49:13:467,8,1,1,8,1.2,30,2652.888912,1827.783,88.97634143,1,1
10,32,222.64,40,06-28-2021 09:49:48:095,8,1,1,8,1.4,30,3170.350719,1522.44,67.45240671,1,1
10,32,222.64,40,06-28-2021 09:50:18:522,8,1,1,8,1.6,30,3175.235437,1611.385,158.6358492,1,1
10,32,222.64,40,06-28-2021 09:50:49:222,8,1,1,8,1.8,30,3097.397326,1620.592,131.2558932,1,1
10,32,222.64,40,06-28-2021 09:51:20:362,8,1,1,8,2,30,2919.746026,1736.799,156.8445678,1,1
10,32,222.64,40,06-28-2021 09:51:52:398,8,1,1,8,2.2,30,3229.105327,1593.612,165.0997778,1,1
10,32,222.64,40,06-28-2021 09:52:22:446,8,1,1,8,2.3,30,3264.024107,1602.585,189.3559366,1,1
10,32,222.64,40,06-28-2021 09:52:52:572,8,1,1,12,1.2,30,3209.509769,1603.315,166.080571,1,1
10,32,222.64,40,06-28-2021 09:53:23:536,8,1,1,12,1.4,30,3185.729286,1610.392,162.4284847,1,1
10,32,222.64,40,06-28-2021 09:53:54:353,8,1,1,12,1.6,30,3159.623653,1618.639,158.6342081,1,1
10,32,222.64,40,06-28-2021 09:54:25:205,8,1,1,12,1.8,30,3270.633251,1550.477,140.1038804,1,1
10,32,222.64,40,06-28-2021 09:54:55:407,8,1,1,12,2,30,3282.308952,1583.742,178.4632667,1,1
10,32,222.64,40,06-28-2021 09:55:25:499,8,1,1,12,2.2,30,3323.007028,1603.078,214.9349296,1,1
10,32,222.64,40,06-28-2021 09:55:54:961,8,1,1,12,2.3,30,3188.278549,1697.532,250.7262998,1,1
10,32,222.64,40,06-28-2021 09:56:25:020,8,1,1,16,1.2,30,3160.124863,1514.886,55.11277112,1,1
10,32,222.64,40,06-28-2021 09:56:55:567,8,1,1,16,1.4,30,2999.311523,1697.509,159.5446607,1,1
10,32,222.64,40,06-28-2021 09:57:27:358,8,1,1,16,1.6,30,2717.67002,1870.494,173.0599329,1,1
10,32,222.64,40,06-28-2021 09:58:01:261,8,1,1,16,1.8,30,3141.190024,1640.111,171.5383767,1,1
10,32,222.64,40,06-28-2021 09:58:32:172,8,1,1,16,2,30,2965.9693,1761.221,205.8894348,1,1
10,32,222.64,40,06-28-2021 09:59:04:278,8,1,1,16,2.2,30,3127.382595,1702.395,227.4158,1,1
10,32,222.64,40,06-28-2021 09:59:35:325,8,1,1,16,2.3,30,3222.489022,1629.209,197.840834,1,1
10,32,222.64,40,06-28-2021 10:00:05:401,8,1,1,20,1.2,30,3069.399692,1609.604,106.7600509,1,1
10,32,222.64,40,06-28-2021 10:00:37:071,8,1,1,20,1.4,30,2840.642683,1797.519,173.5675955,1,1
10,32,222.64,40,06-28-2021 10:01:10:403,8,1,1,20,1.6,30,2987.317875,1729.878,185.97021,1,1
10,32,222.64,40,06-28-2021 10:01:42:280,8,1,1,20,1.8,30,2990.606555,1737.271,194.8297758,1,1
10,32,222.64,40,06-28-2021 10:02:14:062,8,1,1,20,2,30,3094.029892,1706.435,215.5551398,1,1
10,32,222.64,40,06-28-2021 10:02:45:190,8,1,1,20,2.2,30,3285.737611,1635.449,231.5596447,1,1
10,32,222.64,40,06-28-2021 10:03:15:249,8,1,1,20,2.3,30,3196.292726,1645.44,202.339308,1,1
10,32,222.64,40,06-28-2021 10:03:45:314,8,1,1,24,1.2,30,3061.851601,1611.536,104.9870427,1,1
10,32,222.64,40,06-28-2021 10:04:17:032,8,1,1,24,1.4,30,3143.668476,1651.055,183.7173794,1,1
10,32,222.64,40,06-28-2021 10:04:48:478,8,1,1,24,1.6,30,3134.599885,1654.81,183.3042452,1,1
10,32,222.64,40,06-28-2021 10:05:19:831,8,1,1,24,1.8,30,3197.660856,1670.817,228.2566217,1,1
10,32,222.64,40,06-28-2021 10:05:50:237,8,1,1,24,2,30,3236.800336,1627.272,202.1560353,1,1
